用户ID,总消费金额,价值等级
655,77389,高
656,114524,高
657,67173,中
658,123857,高
659,97416,高
660,16728,低
661,121606,高
662,30552,低
663,85568,高
664,99634,高
665,16233,低
666,10348,低
667,146389,高
668,69870,中
669,57541,中
670,109834,高
671,41009,低
672,37380,低
673,55113,中
674,61319,中
675,163767,高
676,17529,低
677,100443,高
678,63035,中
679,77942,高
680,151301,高
681,31112,低
682,35637,低
683,21024,低
684,52394,中
685,67688,中
686,39898,低
687,50927,中
688,35388,低
689,48546,中
690,62938,中
691,123032,高
692,12582,低
693,43579,中
694,34570,低
695,13690,低
696,66710,中
697,15622,低
698,94428,高
699,8355,低
700,37046,低
701,48489,中
702,113994,高
703,103411,高
704,59913,中
705,63311,中
706,84522,高
707,186375,高
708,66580,中
709,39414,低
710,18927,低
711,100343,高
712,68088,中
713,36838,低
714,119542,高
715,117661,高
716,67595,中
717,12660,低
718,37020,低
719,61148,中
720,66027,中
721,16152,低
722,106273,高
723,40205,低
724,50346,中
725,81649,高
726,73279,高
727,93724,高
728,110023,高
729,43257,中
730,30494,低
731,27879,低
732,83248,高
733,114754,高
734,62165,中
736,90940,高
737,39186,低
738,44065,中
739,101293,高
740,21042,低
741,63571,中
742,8638,低
743,6006,低
744,124571,高
745,82160,高
746,63715,中
747,81026,高
748,38719,低
749,103982,高
750,14373,低
751,23447,低
752,51973,中
753,115798,高
754,11484,低
755,16449,低
756,91807,高
757,91986,高
758,36642,低
759,147850,高
760,38232,低
761,156743,高
762,21108,低
763,16189,低
764,44154,中
765,72838,中
766,5574,低
767,28855,低
768,20050,低
769,59105,中
770,27366,低
771,80064,高
772,20707,低
773,112892,高
774,30204,低
775,61679,中
776,152014,高
777,17080,低
778,45278,中
779,53453,中
780,83181,高
781,127888,高
782,162341,高
783,57310,中
784,79039,高
785,27943,低
786,59911,中
787,73117,中
788,69191,中
789,43165,中
790,75577,高
791,65693,中
792,59914,中
793,98541,高
794,110710,高
795,63078,中
796,35828,低
797,88557,高
798,33645,低
799,16948,低
800,12852,低
